Link,Name,Pos,Year,College,RAS,Alltime
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9239&ovl=Ravens"">Link</a>",Anthony Allen,RB,2011,Georgia Tech,9.89,9.9
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9599&ovl=Commanders"">Link</a>",Roy Helu,RB,2011,Nebraska,9.38,9.4
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9632&ovl=Raiders"">Link</a>",Taiwan Jones,RB,2011,Eastern Washington,9.3,9.37
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9349&ovl=Cowboys"">Link</a>",DeMarco Murray,RB,2011,Oklahoma,9.18,9.35
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9248&ovl=Steelers"">Link</a>",Baron Batch,RB,2011,Texas Tech,8.8,9.33
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9348&ovl=Colts"">Link</a>",Delone Carter,RB,2011,Syracuse,9.06,9.18
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9330&ovl=Dolphins"">Link</a>",Daniel Thomas,RB,2011,Kansas State,8.82,9.12
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9447&ovl=Chargers"">Link</a>",Jordan Todman,RB,2011,Connecticut,8.2,8.7
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9334&ovl=Giants"">Link</a>",Da'Rel Scott,RB,2011,Maryland,8.18,8.67
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9225&ovl=Packers"">Link</a>",Alex Green,RB,2011,Hawaii,8.37,8.53
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9251&ovl=Jets"">Link</a>",Bilal Powell,RB,2011,Louisville,7.76,8.06
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9543&ovl=Lions"">Link</a>",Mikel Leshoure,RB,2011,Illinois,7.52,7.86
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9471&ovl=49ers"">Link</a>",Kendall Hunter,RB,2011,Oklahoma State,7.2,7.28
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9618&ovl=Patriots"">Link</a>",Shane Vereen,RB,2011,California,6.76,7.24
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9413&ovl=Bengals"">Link</a>",Jay Finley,RB,2011,Baylor,6.72,7.17
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9607&ovl=Cardinals"">Link</a>",Ryan Williams,RB,2011,Virginia Tech,6.49,6.95
