Link,Name,Pos,Year,College,RAS,Alltime
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10754&ovl=Giants"">Link</a>",Michael Cox,RB,2013,Massachusetts,9.92,9.96
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10693&ovl=Raiders"">Link</a>",Latavius Murray,RB,2013,Central Florida,9.83,9.91
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10430&ovl=Seahawks"">Link</a>",Christine Michael,RB,2013,Texas A&M,9.79,9.86
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10676&ovl=Chiefs"">Link</a>",Knile Davis,RB,2013,Arkansas,9.45,9.65
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10698&ovl=Steelers"">Link</a>",Le'Veon Bell,RB,2013,Michigan State,8.88,9.15
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10977&ovl=Rams"">Link</a>",Zac Stacy,RB,2013,Vanderbilt,8.16,8.52
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10770&ovl=Buccaneers"">Link</a>",Mike James,RB,2013,Miami,7.7,8.13
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10830&ovl=Bengals"">Link</a>",Rex Burkhead,RB,2013,Nebraska,7.43,7.83
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10545&ovl=Bengals"">Link</a>",Giovani Bernard,RB,2013,North Carolina,7.4,7.82
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10889&ovl=Seahawks"">Link</a>",Spencer Ware,RB,2013,Louisiana State,6.3,7.35
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10625&ovl=Cowboys"">Link</a>",Joseph Randle,RB,2013,Oklahoma State,6.27,7.06
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10604&ovl=Packers"">Link</a>",Johnathan Franklin,RB,2013,UCLA,6.06,6.84
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10658&ovl=Panthers"">Link</a>",Kenjon Barner,RB,2013,Oregon,6.33,6.76
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10355&ovl=Cardinals"">Link</a>",Andre Ellington,RB,2013,Clemson,5.7,6.12
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=10665&ovl=Colts"">Link</a>",Kerwynn Williams,RB,2013,Utah State,4.71,5.45
