Link,Name,Pos,Year,College,RAS,Alltime
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6274&ovl=Texans"">Link</a>",Andre Johnson,WR,2003,Miami,9.98,9.99
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6586&ovl=Titans"">Link</a>",Tyrone Calico,WR,2003,Middle Tennessee State,9.71,9.61
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6297&ovl=Patriots"">Link</a>",Bethel Johnson,WR,2003,Texas A&M,9.83,9.44
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6592&ovl=Panthers"">Link</a>",Walter Young,WR,2003,Illinois,9.64,9.36
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6531&ovl=Raiders"">Link</a>",Ryan Hoag,WR,2003,Gustavus Adolphus,9.68,9.24
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6456&ovl=Rams"">Link</a>",Kevin Curtis,WR,2003,Utah State,9.63,9.06
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6502&ovl=Vikings"">Link</a>",Nate Burleson,WR,2003,Nevada,9.34,8.79
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6285&ovl=49ers"">Link</a>",Arnaz Battle,WR,2003,Notre Dame,7.78,6.65
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6444&ovl=Saints"">Link</a>",Kareem Kelly,WR,2003,Southern California,7.54,6.57
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6378&ovl=Raiders"">Link</a>",Doug Gabriel,WR,2003,Central Florida,7.89,6.53
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6270&ovl=Broncos"">Link</a>",Adrian Madise,WR,2003,Texas Christian,6.98,5.71
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6554&ovl=Saints"">Link</a>",Talman Gardner,WR,2003,Florida State,6.93,5.62
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6533&ovl=Bills"">Link</a>",Sam Aiken,WR,2003,North Carolina,7.28,5.46
