year,player,pff_id
2018,Juan Moody,156
2018,Luke Shiflett,224
2018,Tyron Billy-Johnson,262
2018,Dorian Hendrix,122
2018,Jerome Cooper,102
2018,Ledarrius Harris,314
2019,Malcolm Perry,237
2019,CJ Marable,141
2019,Benny LeMay,136
2019,Ray Davis,306
2019,Taven Birdow,101
2019,Artavis Pierce,265
2019,Timothy Jackson,101
2019,Nelson Smith,237
2019,Elijah Davis,263
2019,Jordan Byrd,284
2019,Anthony D. Taylor,314
2019,Ishod Byarm,136
2019,Keyon Henry-Brooks,333
2019,CJ Williams,237
2019,Tobias Oliver,176
2019,Kay'Ron Lynch-Adams,278
2019,Jaqwis Dancy,208
2019,Jayy McDonald,224
2019,Terelle West,224
2019,Jabir Daughtry-Frye,318
2019,Trilion Coles,323
2019,Gilberto Torres,216
2019,Keoni-Kordell Makekau,237
2019,Isaac Ruoss,237
2019,Ja'Vahri Portis,259
2019,Nahshon Ellerbe,275
2019,Hekili Keliiliki,180
2019,Traveon Samuel,218
2019,Matthew Murla,101
2019,James Harris II,237
2019,Joshua Fleeks,118
2019,Deangelo Antoine,165
2019,Jeff Burroughs,351
2019,Coco Azema,256
2019,Tyrek Tisdale,165
2019,Kered Class,141
2019,Tate Martell,220
2019,Dave Small,327
2019,B.J. Casteel,109
2019,Stephon Robinson Jr.,198
2019,Preston Jelen,225
2019,Dominico Moncion,146
2019,Omar Fattah,101
2019,Colton Parton,101
2019,Nathan Cottrell,176
2019,Joshua Palmer,307
2019,Mohamed Jabbie,278
2019,Bo Gross,101
2019,Lenard Leviston,101
2019,Pokey Wilson,167
2019,Forest McKee,330
2019,Chris Herron,199
2019,Cheyenne O'Grady,111
2019,Adam Prentice,144
2019,Jamari Peacock,335
2019,Sitaleki Nunn,285
2019,Koby Bullard,118
2020,CJ Marable,141
2020,Keyon Henry-Brooks,333
2020,Ray Davis,306
2020,Woody Marks,227
2020,Chip Trayanum,110
2020,Jayy McDonald,224
2020,Jordan Byrd,284
2020,Kay'Ron Lynch-Adams,278
2020,Juwaun Price,242
2020,Myles Fells,237
2020,Leonard Parker,327
2020,Elijah Robinson,101
2020,CJ Williams,237
2020,Carlinos Acie,237
2020,Jorden Gidrey,101
2020,Demarkcus Bowman,163
2020,Ay'Jaun Marshall,114
2020,Joshua Edwards,113
2020,Quardraiz Wadley,330
2020,EJ Wilson Jr.,166
2020,Pokey Wilson,167
2020,Joshua Fleeks,118
2020,JuanCarlos Santana,320
2020,D.J. Taylor,110
2020,Devon High,237
2020,Preston Jelen,225
2020,Tyetus Smith-Lindsey,321
2020,Joshua Palmer,307
2020,Joshua Youngblood,278
2020,Trevis Graham ,314
2020,Justin Smith,237
2020,Charlie Norman,209
2021,Jay Ducker,254
2021,Juwaun Price,242
2021,Woody Marks,227
2021,Elijah Davis,263
2021,Trey Cooley,210
2021,Chip Trayanum,110
2021,Carlinos Acie,237
2021,Ray Davis,333
2021,EJ Wilson Jr.,166
2021,Kay'Ron Lynch-Adams,216
2021,Jordan Byrd,284
2021,Quardraiz Wadley,330
2021,Trilion Coles,323
2021,Jack Colletto,265
2021,Mason King,254
2021,D.J. Stepney,134
2021,James Ziglor III,333
2021,Monte Watkins,305
2021,John Rhys Plumlee,226
2021,Jayshon Jackson,117
2021,Stephon Robinson Jr.,256
2021,Jacob Rodriguez,335
2021,Jorden Gidrey,101
2021,Demouy Kennedy,103
2021,Chaese Jackson,160
2021,Isaiah Gash,222
2021,Stone Smartt,263
2021,Joshua Fleeks,118
2021,B.J. Casteel,109
2021,Derik LeCaptain,225
2021,Jairus Mack,136
2021,Charlie Norman,209
2021,Reggie Todd,318
2021,BK Jackson,251
2021,Joshua Edwards,113
2021,Pokey Wilson,167
2021,Philip Cole,259
2021,Erik Krommenhoek,326
2021,Zahn Diaz,296
2021,Mikey Alfieri,265
2021,JP Richardson,262
2021,Nasjzae Bryant-Lelei,180
2021,Loronzo Thompson,251
2021,Calvin Johnson II,256
2021,Ay'Jaun Marshall,114
2021,Allie Brown,174
2021,JuanCarlos Santana,320
2021,Tyetus Smith-Lindsey,321
2021,Joshua Hardeman,351
2021,Michael Parrott,220
2022,Ray Davis,333
2022,Nathaniel Jones,241
2022,Woody Marks,227
2022,Jay Ducker,218
2022,Jordan Byrd,284
2022,Kay'Ron Lynch-Adams,216
2022,EJ Wilson Jr.,166
2022,Trey Cooley,210
2022,Nasjzae Bryant-Lelei,180
2022,Demie Sumo-Karngbaye,248
2022,Monte Watkins,242
2022,Joey Braasch,351
2022,Ay'Jaun Marshall,114
2022,Cam'ron Barfield,121
2022,Mason King,254
2022,Isaiah Gash,222
2022,Allie Brown,174
2022,Chip Trayanum,260
2022,Jayshon Jackson,117
2022,Maurice Bellan,114
2022,BK Jackson,251
2022,Juwaun Price,304
2022,Devaughn Mortimer,209
2022,Mark Anthony Scott Jr.,126
2022,DeaJaun McDougle,319
2022,Chuck Montgomery,214
2022,OJ Hiliare,122
2022,Preston Jelen,225
2022,Dash Luke,209
2022,Emmanuel Abdallah,314
2022,Jimmie Haywood,296
2022,Elijah Hopkins,141
2022,Jarvis Griffiths,122
2022,Joshua Fleeks,118
2022,Trilion Coles,323
2022,Charlie Norman,209
2022,J.Michael Sturdivant,130
2022,Hahsaun Wilson,136
2022,DJ Thomas-Jones,288
2022,Jermaine Johnson Jr.,216
2022,Ty Jones,169
2022,Tony Grimes Jr.,102
2022,Michael Brown Stephens,225
2022,Amin Hassan,237
2023,Kay'Ron Lynch-Adams,216
2023,Ray Davis,202
2023,Woody Marks,227
2023,Chip Trayanum,260
2023,Trey Cooley,176
2023,Monte Watkins,242
2023,Hahsaun Wilson,136
2023,Juwaun Price,304
2023,Bill Davis,207
2023,Nasjzae Bryant-Lelei,180
2023,Charlie Norman,209
2023,Demie Sumo-Karngbaye,202
2023,Ay'Jaun Marshall,114
2023,Joshua Fleeks,238
2023,Brock Lampe,254
2023,Solo Vaipulu,180
2023,Amin Hassan,237
2023,EJ Wilson Jr.,306
2023,Quintrevion Wisner,311
2023,Cam'ron Barfield,121
2023,Landan Brown,281
2023,Jay Ducker,218
2023,Kaden Moorman,210
2023,John Branham Jr.,304
2023,Devaughn Mortimer,209
2023,Skip Velotta,258
2023,JP Richardson,305
2023,Joey Bearns III,136
2023,Josiah Gonzales,324
2023,OJ Hiliare,122
2023,Joshua Nicholson,284
2023,Jairus Mack,136
2023,Raymond Banner,224
2023,Tristen Rigby,140
2023,Jovoni Johnson-McCray,275
2023,Moochie Dixon,287
2023,Luke Doty,289
2023,Christopher Frew,101
