Link,Name,Pos,Year,College,RAS,Alltime
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7811&ovl=Bears"">Link</a>",Greg Olsen,TE,2007,Miami,9.5,9.49
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7933&ovl=Chiefs"">Link</a>",Michael Allan,TE,2007,Whitworth,8.91,8.6
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7893&ovl=Giants"">Link</a>",Kevin Boss,TE,2007,Western Oregon,8.13,7.71
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7708&ovl=Cardinals"">Link</a>",Ben Patrick,TE,2007,Delaware,7.93,7.26
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7722&ovl=Eagles"">Link</a>",Brent Celek,TE,2007,Cincinnati,7.96,7.24
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7746&ovl=Packers"">Link</a>",Clark Harris,TE,2007,Rutgers,7.82,6.92
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8039&ovl=Raiders"">Link</a>",Zach Miller,TE,2007,Arizona State,7.15,6.39
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8022&ovl=Commanders"">Link</a>",Tyler Ecker,TE,2007,Michigan,6.56,5.79
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7924&ovl=Falcons"">Link</a>",Martrez Milner,TE,2007,Georgia,6.65,5.65
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7768&ovl=Panthers"">Link</a>",Dante Rosario,TE,2007,Oregon,6.17,5.19
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7991&ovl=Chargers"">Link</a>",Scott Chandler,TE,2007,Iowa,6.2,5.04
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7929&ovl=Steelers"">Link</a>",Matt Spaeth,TE,2007,Minnesota,,
