Link,Name,Pos,Year,College,RAS,Alltime
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6351&ovl=Colts"">Link</a>",Dallas Clark,TE,2003,Iowa,9.86,9.77
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6468&ovl=Eagles"">Link</a>",L.J. Smith,TE,2003,Rutgers,9.76,9.71
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6589&ovl=Giants"">Link</a>",Visanthe Shiancoe,TE,2003,Morgan State,9.73,9.68
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6421&ovl=Cowboys"">Link</a>",Jason Witten,TE,2003,Tennessee,9.62,8.87
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6353&ovl=Rams"">Link</a>",Dan Curley,TE,2003,Eastern Washington,8.35,7.42
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6269&ovl=49ers"">Link</a>",Aaron Walker,TE,2003,Florida,8.32,7.19
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6375&ovl=Dolphins"">Link</a>",Donald Lee,TE,2003,Mississippi State,8.08,6.73
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6580&ovl=Ravens"">Link</a>",Trent Smith,TE,2003,Oklahoma,6.77,5.15
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6549&ovl=Patriots"">Link</a>",Spencer Nead,TE,2003,Brigham Young,6.08,3.98
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6400&ovl=Jaguars"">Link</a>",George Wrighster,TE,2003,Oregon,6.15,3.95
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6296&ovl=Texans"">Link</a>",Bennie Joppru,TE,2003,Michigan,,
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6498&ovl=Panthers"">Link</a>",Mike Seidman,TE,2003,UCLA,,
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6523&ovl=Rams"">Link</a>",Richard Angulo,TE,2003,Western New Mexico,,
