year,team_id,sr_id,college_link
2001,143,wane-mcgarity-1,https://www.sports-reference.com/cfb/players/wane-mcgarity-1.html
2001,143,mike-lucky-1,https://www.sports-reference.com/cfb/players/mike-lucky-1.html
2001,143,darrin-chiaverini-1,https://www.sports-reference.com/cfb/players/darrin-chiaverini-1.html
2001,143,michael-wiley-1,https://www.sports-reference.com/cfb/players/michael-wiley-1.html
2001,143,joey-galloway-1,https://www.sports-reference.com/cfb/players/joey-galloway-1.html
2001,143,raghib-ismail-1,https://www.sports-reference.com/cfb/players/raghib-ismail-1.html
2001,143,emmitt-smith-1,https://www.sports-reference.com/cfb/players/emmitt-smith-1.html
2001,145,john-waerig-1,https://www.sports-reference.com/cfb/players/john-waerig-1.html
2001,146,tyrone-davis-1,https://www.sports-reference.com/cfb/players/tyrone-davis-1.html
2001,146,charles-lee-1,https://www.sports-reference.com/cfb/players/charles-lee-1.html
2001,146,rondell-mealey-1,https://www.sports-reference.com/cfb/players/rondell-mealey-1.html
2001,146,bubba-franks-1,https://www.sports-reference.com/cfb/players/bubba-franks-1.html
2001,146,dorsey-levens-1,https://www.sports-reference.com/cfb/players/dorsey-levens-1.html
2001,146,antonio-freeman-1,https://www.sports-reference.com/cfb/players/antonio-freeman-1.html
2001,146,ahman-green-1,https://www.sports-reference.com/cfb/players/ahman-green-1.html
2001,145,brock-olivo-1,https://www.sports-reference.com/cfb/players/brock-olivo-1.html
2001,145,pete-mitchell-1,https://www.sports-reference.com/cfb/players/pete-mitchell-1.html
2001,145,herman-moore-1,https://www.sports-reference.com/cfb/players/herman-moore-1.html
2001,145,reuben-droughns-1,https://www.sports-reference.com/cfb/players/reuben-droughns-1.html
2001,145,desmond-howard-1,https://www.sports-reference.com/cfb/players/desmond-howard-1.html
2001,145,bert-emanuel-1,https://www.sports-reference.com/cfb/players/bert-emanuel-1.html
2001,145,larry-foster-1,https://www.sports-reference.com/cfb/players/larry-foster-1.html
2001,145,germane-crowell-1,https://www.sports-reference.com/cfb/players/germane-crowell-1.html
2001,145,david-sloan-2,https://www.sports-reference.com/cfb/players/david-sloan-2.html
2001,145,lamont-warren-1,https://www.sports-reference.com/cfb/players/lamont-warren-1.html
2001,145,james-stewart-3,https://www.sports-reference.com/cfb/players/james-stewart-3.html
2001,145,johnnie-morton-1,https://www.sports-reference.com/cfb/players/johnnie-morton-1.html
2001,148,tony-simmons-2,https://www.sports-reference.com/cfb/players/tony-simmons-2.html
2001,149,alvis-whitted-1,https://www.sports-reference.com/cfb/players/alvis-whitted-1.html
2001,149,frank-moreau-1,https://www.sports-reference.com/cfb/players/frank-moreau-1.html
2001,149,damon-gibson-1,https://www.sports-reference.com/cfb/players/damon-gibson-1.html
2001,149,fred-taylor-2,https://www.sports-reference.com/cfb/players/fred-taylor-2.html
2001,149,damon-jones-1,https://www.sports-reference.com/cfb/players/damon-jones-1.html
2001,149,sean-dawkins-2,https://www.sports-reference.com/cfb/players/sean-dawkins-2.html
2001,149,kyle-brady-2,https://www.sports-reference.com/cfb/players/kyle-brady-2.html
2001,149,elvis-joseph-1,https://www.sports-reference.com/cfb/players/elvis-joseph-1.html
2001,149,stacey-mack-1,https://www.sports-reference.com/cfb/players/stacey-mack-1.html
2001,149,keenan-mccardell-1,https://www.sports-reference.com/cfb/players/keenan-mccardell-1.html
2001,148,kevin-mcdougal-2,https://www.sports-reference.com/cfb/players/kevin-mcdougal-2.html
2001,148,trevor-insley-1,https://www.sports-reference.com/cfb/players/trevor-insley-1.html
2001,148,jerome-pathon-1,https://www.sports-reference.com/cfb/players/jerome-pathon-1.html
2001,148,terrence-wilkins-1,https://www.sports-reference.com/cfb/players/terrence-wilkins-1.html
2001,148,ken-dilger-1,https://www.sports-reference.com/cfb/players/ken-dilger-1.html
2001,148,edgerrin-james-1,https://www.sports-reference.com/cfb/players/edgerrin-james-1.html
2001,148,marvin-harrison-1,https://www.sports-reference.com/cfb/players/marvin-harrison-1.html
2001,150,dante-hall-1,https://www.sports-reference.com/cfb/players/dante-hall-1.html
2001,151,mondriel-fulcher-1,https://www.sports-reference.com/cfb/players/mondriel-fulcher-1.html
2001,151,david-dunn-1,https://www.sports-reference.com/cfb/players/david-dunn-1.html
2001,151,james-jett-1,https://www.sports-reference.com/cfb/players/james-jett-1.html
2001,151,jeremy-brigham-1,https://www.sports-reference.com/cfb/players/jeremy-brigham-1.html
2001,151,terry-kirby-1,https://www.sports-reference.com/cfb/players/terry-kirby-1.html
