year,player,pff_id,rush_grade,rec_grade,team
2015,Jordon Vaden,144,,59,COLO STATE
2015,Micky Crum,210,,73.7,LOUISVILLE
2015,Richard Murphy,136,,59.4,CHARLOTTE
2015,Stanley Williams,202,,49.9,KENTUCKY
2015,Justin Bolus,136,,52.3,CHARLOTTE
2015,Ke'aun Kinner,198,,53.6,KANSAS
2015,Nick Arcidiacono,278,,54.6,RUTGERS
2015,Tyron Billy-Johnson,211,,59.4,LSU
2015,Kano Dillon,327,,72.6,USF
2015,Jacob Sannon,185,,64.4,IDAHO
2015,Gump Hayes,110,,54,ARIZONA ST
2015,DeBrandon Sanders,237,,90,NAVY
2015,Nate Wozniak,225,,47.2,MINNESOTA
2015,Derek Barnes,224,,48.8,MIDDLE TN
2015,Austin Grammer,224,,61.3,MIDDLE TN
2015,Cam Hilton,229,,75.9,MISSOURI
2015,Isaac Whitney,326,,64.4,USC
2015,Stoney Hawkins,209,,48.3,LA MONROE
2015,Johnny Mundt,264,,51,OREGON
2015,Nick Mathews,214,,53.2,MARSHALL
2015,Kawmae Sawyer,259,,56.7,OHIO
2015,Jelani Roberts,256,,58.4,NWESTERN
2015,Sanford Seay,208,,62.5,LA TECH
2015,Kyle Hoffman,136,,71,CHARLOTTE
2015,Aeris Williams,227,,47.2,MISS STATE
2015,Ricky Parks,296,,45,SO MISS
2015,Derek Longoria,287,,48,SMU
2015,Malike Roberson,285,,65.4,S JOSE ST
2015,Buddy Howell,165,,58.3,FAU
2015,Elijah Wellman,343,,54.2,W VIRGINIA
2015,Moe Ways,222,,57.2,MICHIGAN
2015,Jeffrey Coprich,130,,88.4,CAL
2015,Leon Thornton,190,,46.7,INDIANA
2015,Sean Smith,224,,48.6,MIDDLE TN
2015,Stephen Baggett,156,,59,E CAROLINA
2015,Aaron Cochran,323,,51.6,UCF
2015,Aaron Duckworth,185,,55.3,IDAHO
2015,Clayton Granch,242,,65.2,NEW MEX ST
2015,Grant Childress,208,,49.9,LA TECH
2015,D'Aundrey Bradley,251,,47.9,N TEXAS
2015,Isaiah Saunders,185,,56.5,IDAHO
2015,Isaiah Gentry-Madaris,225,,55.6,MINNESOTA
2015,Alton Howard,307,,51.8,TENNESSEE
2015,Kenneth Towns,173,,58.7,GEORGIA
2015,Ralph David Abernathy IV,307,,65.8,TENNESSEE
2015,LaQuan McGowan,118,,52.9,BAYLOR
2015,Jackson Porter,216,,49.2,UMASS
2015,Tymon Locklin,242,,46.1,NEW MEX ST
2015,Cody Small,199,,30.6,KANSAS ST
2015,Ty Clemons,224,,54.1,MIDDLE TN
2015,Zach Bumgarner,136,,61.2,CHARLOTTE
2015,Buck Jones,305,,44,TCU
2015,Dameko Doddles,351,,51.6,WYOMING
2015,Dalton Stogner,245,,55.4,N CAROLINA
2015,Garrett Anderson,146,,74.2,UCONN
2015,Dontavian Lee,227,,32.7,MISS STATE
2015,Daniel Fields,324,,40.7,UCLA
2015,Thaddeus Snodgrass,202,,59.3,KENTUCKY
2015,Calvary Pugh,185,,54,IDAHO
2015,Glenn Welch,173,,73.3,GEORGIA
2015,Lynn Griffin,176,,53.2,GA TECH
2015,Tyler Luatua,258,,45.4,NOTRE DAME
2015,R.J. Tyler,136,,58.9,CHARLOTTE
2015,Jay Warren,165,,50,FAU
2015,Lorenzo Cryer,207,,44.2,LA LAFAYET
2015,Darrell Fuery,169,,44.4,FRESNO ST
2015,Connor Lemieux,216,,58.8,UMASS
2015,Hayden Jones,143,,33.2,COLORADO
2015,Zach Allen,305,,67.1,TCU
2015,Jaqwis Dancy,208,,89.5,LA TECH
2015,Dontae Owens,278,,57.7,RUTGERS
2015,Adrian Falconer,192,,59,IOWA
2015,Tanner Langvardt,199,,28,KANSAS ST
2015,David Bouvier,202,,59.3,KENTUCKY
2015,Spencer Gilbert,117,,58.2,BALL ST
2015,Evan Wilson,327,,38.1,USF
2015,David Ungerer III,185,,52.2,IDAHO
2015,John Freismuth,144,,59.3,COLO STATE
2015,Matavius Scott,175,,59.3,GA STATE
2015,Matthew Eaton,306,,67.1,TEMPLE
2015,Joe Stocstill,307,,33.2,TENNESSEE
2015,Morgan Steward,229,,57,MISSOURI
2015,Thaddaeus Medford,208,,46,LA TECH
2015,Tyrin Stone-Davis,187,,57.2,ILLINOIS
2015,David Sutton,238,,50.4,NEBRASKA
2015,Sean Burke,121,,78.1,BOSTON COL
2015,Louie Addazio,121,,34.9,BOSTON COL
2015,Brandon Oliver,176,,58.6,GA TECH
2015,Donte Thomas-Williams,343,,84.5,W VIRGINIA
2015,Lucas Hamilton,224,,44.4,MIDDLE TN
2015,Triston Crossland,331,,50.4,UTSA
2015,Kevin Johnson,287,,60.7,SMU
2015,Jack Gammon,214,,56,MARSHALL
2015,Kwadarrius Smith,102,,59.7,AKRON
2016,JoJo Natson,102,,70.1,AKRON
2016,Allenzae Staggers,296,,77.3,SO MISS
2016,Temuchin Hodges,337,,66.2,VA TECH
2016,Deon Watson,185,,70.7,IDAHO
2016,Trent Cowan,185,,76.8,IDAHO
2016,Jalen Rowell,101,,94.5,AIR FORCE
2016,Alfonso Onunwor,185,,64.8,IDAHO
2016,Callen Hightower,185,,72.3,IDAHO
2016,Terian Goree,251,,62.5,N TEXAS
2016,Trever Ryen,193,,60.6,IOWA STATE
2016,Mikah Holder,284,,75.2,S DIEGO ST
2016,Cory Butler-Byrd,328,,68.7,UTAH
2016,Bobo Wilson,167,,71.1,FLORIDA ST
2016,KJ Stepherson,258,,67.7,NOTRE DAME
2016,Jacob Sannon,185,,50.1,IDAHO
2016,Johnnie Niupalau,160,,61.1,E MICHIGAN
2016,Eugene Lewis,261,,82.3,OKLAHOMA
2016,Johnny Mundt,264,,57.1,OREGON
2016,Tyrian Taylor,242,,57.9,NEW MEX ST
2016,Nate German,275,,47.8,RICE
2016,K.C. Crosby,289,,59.4,S CAROLINA
2016,D'Eriq King,182,,68.5,HOUSTON
2016,Jordan Frysinger,185,,83.7,IDAHO
2016,Traveon Samuel,210,,57.4,LOUISVILLE
2016,Artavis Pierce,265,,61.3,OREGON ST
2016,Tyrone Young-Smith,328,,55.6,UTAH
2016,Maaseiah Francis,288,,85.9,S ALABAMA
2016,Reuben Mwehla,185,,57,IDAHO
2016,Nate Wozniak,225,,44.6,MINNESOTA
2016,Malike Roberson,285,,71.9,S JOSE ST
2016,Ke'aun Kinner,198,,59.6,KANSAS
2016,Nick Arcidiacono,278,,43.3,RUTGERS
2016,D.J. Taylor,187,,50,ILLINOIS
2016,Avery Johnson,138,,64.9,CINCINNATI
2016,Royce Caldwell,242,,62.3,NEW MEX ST
2016,Kano Dillon,327,,58.7,USF
2016,Ronald Cleveland,101,,61.9,AIR FORCE
2016,Isaiah Saunders,185,,69.7,IDAHO
2016,Kyle Hoffman,136,,58.2,CHARLOTTE
2016,Zy Letman,108,,63.6,APP STATE
2016,Gary Haynes,207,,63.9,LA LAFAYET
2016,Dimitri Flowers,261,,79.9,OKLAHOMA
2016,Buddy Howell,165,,36.4,FAU
2016,Clayton Granch,242,,46.2,NEW MEX ST
2016,Justin Bolus,136,,60.1,CHARLOTTE
2016,Stanley Williams,202,,50.5,KENTUCKY
2016,Aaron Duckworth,185,,45.2,IDAHO
2016,David Ungerer III,185,,46.5,IDAHO
2016,L.G. Williams,314,,61.9,TEXAS ST
2016,Aeris Williams,227,,41.6,MISS STATE
2016,Deangelo Antoine,327,,56.6,USF
2016,Benny LeMay,136,,54,CHARLOTTE
2016,Dominic Walker,318,,54.6,TROY
2016,Jabir Daughtry-Frye,318,,63.1,TROY
2016,Denzal Brantley,185,,56.2,IDAHO
2016,Cheyenne O'Grady,111,,81.4,ARKANSAS
2016,Stephen Baggett,156,,50.4,E CAROLINA
2016,Kyle Nevels,209,,89.5,LA MONROE
2016,Terelle West,224,,58,MIDDLE TN
2016,Devante Peete,210,,68.6,LOUISVILLE
2016,Devin C. Butler,304,,55.9,SYRACUSE
2016,Anthony D. Taylor,314,,45.8,TEXAS ST
2016,Isaac Whitney,326,,55.6,USC
2016,Nick Mathews,214,,50.6,MARSHALL
2016,Adrian Falconer,192,,47.8,IOWA
2016,Hampton McConnell,174,,60.8,GA SOUTHRN
2016,Nahshon Ellerbe,275,,67,RICE
2016,Zach Bumgarner,136,,59.9,CHARLOTTE
