year,player,pff_id,rush_grade,rec_grade,team
2016,Nahshon Ellerbe,275,62.9,67,RICE
2016,Avery Johnson,138,60.8,64.9,CINCINNATI
2016,Jelani Roberts,256,56.6,55.9,NWESTERN
2016,Gary Haynes,207,54.2,63.9,LA LAFAYET
2016,Deangelo Antoine,327,55.5,56.6,USF
2016,Bobo Wilson,167,57.3,71.1,FLORIDA ST
2016,David Ungerer III,185,58.8,46.5,IDAHO
2016,Trever Ryen,193,63.4,60.6,IOWA STATE
2016,Joe Beneducci,222,63.5,59.7,MICHIGAN
2016,Michael Lacey,307,58,59.1,TENNESSEE
2016,Nick Westbrook-Ikhine,190,63.2,80.5,INDIANA
2016,Ben Scruton,180,57.7,,HAWAII
2016,Tyrian Taylor,242,,57.9,NEW MEX ST
2016,Mykel Golden,108,57.9,59.4,APP STATE
2016,Colin Reardon,201,58.3,56.7,KENT STATE
2016,Michael Geiger,223,57.5,60,MICH STATE
2016,Nathan Cottrell,176,57.3,58.7,GA TECH
2017,Aeris Williams,227,73.9,56.7,MISS STATE
2017,Aaron Duckworth,185,73.2,59,IDAHO
2017,Chris High,237,61.2,30.8,NAVY
2017,Morgan Ellison,190,67.3,59.8,INDIANA
2017,Benny LeMay,136,73,62.1,CHARLOTTE
2017,Isaiah Saunders,185,68.2,58.9,IDAHO
2017,Buddy Howell,165,76.2,50.3,FAU
2017,Anthony D. Taylor,314,61.5,55.3,TEXAS ST
2017,Malike Roberson,285,66.4,66.5,S JOSE ST
2017,Nahshon Ellerbe,275,69.7,42.4,RICE
2017,Artavis Pierce,265,76.7,71.8,OREGON ST
2017,Dillon Birden,182,66.1,61.7,HOUSTON
2017,Quardraiz Wadley,330,73.1,42.5,UTEP
2017,Terelle West,224,70.2,66.7,MIDDLE TN
2017,Kesean Gamble,201,63.2,50.7,KENT STATE
2017,Ronald Cleveland,101,71.6,66,AIR FORCE
2017,Austin Kafentzis,128,70.2,58.4,BYU
2017,Jaqwis Dancy,208,81.4,53.8,LA TECH
2017,Nathan Cottrell,176,66.9,36.1,GA TECH
2017,Kenedy Snell,305,62.7,81.8,TCU
2017,Ja'Ron Wilson,262,54.7,57.7,OKLA STATE
2017,Keoni-Kordell Makekau,237,72.3,49.9,NAVY
2017,Dontavian Lee,227,68.7,51.4,MISS STATE
2017,Dimitri Flowers,261,72,89.7,OKLAHOMA
2017,Branden Leon,109,61.3,56.9,ARIZONA
2017,Mason Petrino,185,53.4,49.6,IDAHO
2017,Dru Dixon,118,60,55.1,BAYLOR
2017,Dylan Thigpen,185,51.3,63.9,IDAHO
2017,Jelani Roberts,256,63.7,52.8,NWESTERN
2017,Allenzae Staggers,296,49.6,63.2,SO MISS
2017,Cole Fagan,101,62.3,60,AIR FORCE
2017,Tyrek Tisdale,165,59.7,,FAU
2017,De'Vonta Smith,108,36.3,58.2,APP STATE
2017,Deangelo Antoine,327,70.1,66.8,USF
2017,KJ Stepherson,258,68.3,73.9,NOTRE DAME
2017,Aubrey Duty-Tyson,101,73.7,,AIR FORCE
2017,Will Phillips,275,55.6,50.2,RICE
2017,Traveon Samuel,210,63.7,51.5,LOUISVILLE
2017,Colton Parton,101,56.7,,AIR FORCE
2017,Leonard Skattebo,122,65,59.4,BOWL GREEN
2017,Jordan Versey,314,60.4,,TEXAS ST
2017,Jared Drake,260,53.1,56,OHIO STATE
2017,Mark Cosgrove,110,56.4,,ARIZONA ST
2017,Austin Johnson,103,65.3,,ALABAMA
2017,Mikah Holder,284,75.3,84.9,S DIEGO ST
2017,Reuben Mwehla,185,59,61.3,IDAHO
2017,Trever Ryen,193,62,73.1,IOWA STATE
2017,Devin C. Butler,304,70,46.5,SYRACUSE
2017,Tyron Billy-Johnson,262,59.7,73.3,OKLA STATE
2017,J.D. Moore,211,59,57.2,LSU
2017,Joshua Palmer,307,57.7,47.3,TENNESSEE
2017,Jabir Daughtry-Frye,318,53.9,,TROY
2017,George Johnson Jr.,174,57.9,,GA SOUTHRN
2018,Benny LeMay,136,72.3,73,CHARLOTTE
2018,Cole Fagan,101,65.9,59.6,AIR FORCE
2018,Jaqwis Dancy,208,82.1,66.7,LA TECH
2018,Quardraiz Wadley,330,70.1,64.9,UTEP
2018,CJ Marable,141,71.4,52.4,COAST CAR
2018,Anthony D. Taylor,314,64.8,55.9,TEXAS ST
2018,Aeris Williams,227,80.8,56.5,MISS STATE
2018,Chase Brown,347,70.4,71.7,W MICHIGAN
2018,Malike Roberson,285,60.9,67.2,S JOSE ST
2018,Terelle West,224,68.1,75.4,MIDDLE TN
2018,Artavis Pierce,265,72,76.4,OREGON ST
2018,Jabir Daughtry-Frye,318,62.3,77.7,TROY
2018,Taven Birdow,101,64.8,62.7,AIR FORCE
2018,Ronald Cleveland,101,64.3,76.9,AIR FORCE
2018,Maurice Mayo,288,54.5,58.6,S ALABAMA
2018,Elijah Davis,263,59.5,30.6,DOMINION
2018,Duran Bell Jr.,327,66.1,45.2,USF
2018,Jordan Byrd,284,58.1,52,S DIEGO ST
2018,Royce Caldwell,242,67.1,59.2,NEW MEX ST
2018,Ishod Byarm,136,54.2,58.5,CHARLOTTE
2018,Dontavian Lee,227,65.8,54.3,MISS STATE
2018,Reese Taylor,190,66.5,68.7,INDIANA
2018,Joshua Fleeks,118,63.7,56.8,BAYLOR
2018,Kenedy Snell,305,60.9,59.9,TCU
2018,Sitaleki Nunn,285,60.3,55.3,S JOSE ST
2018,Joshua Palmer,307,54.4,68.3,TENNESSEE
2018,Joseph Macrina,176,55.1,,GA TECH
2018,Nahshon Ellerbe,275,54.8,60,RICE
2018,Dave Small,327,61.6,60,USF
2018,Branden Leon,109,64.9,,ARIZONA
2018,Beau Hoge,128,54.7,57,BYU
2018,Mikey Alfieri,265,73.8,60.8,OREGON ST
2018,D'Shawn Jamison,311,66.8,59.2,TEXAS
2018,Colton Parton,101,55.7,,AIR FORCE
2018,Traveon Samuel,318,54.1,66.1,TROY
2018,D'Angelo Ellis,275,56.1,76.5,RICE
2018,Deangelo Antoine,327,68,61.9,USF
2018,Jelani Roberts,256,62.4,60.9,NWESTERN
2018,R.J. Raymond,163,62.2,44.3,FLORIDA
2018,Kyle Groeneweg,192,60.9,54.4,IOWA
2018,Erik Krommenhoek,326,62.7,48.8,USC
2018,Juan Moody,156,63.2,55,E CAROLINA
2018,Luke Shiflett,224,59.3,59.5,MIDDLE TN
2018,Tyron Billy-Johnson,262,62.7,69.7,OKLA STATE
2018,Dorian Hendrix,122,68,75.2,BOWL GREEN
2018,Jerome Cooper,102,63.3,,AKRON
2018,Ledarrius Harris,314,59.4,57.8,TEXAS ST
2019,Malcolm Perry,237,86.7,44.7,NAVY
2019,CJ Marable,141,81.3,76.5,COAST CAR
2019,Benny LeMay,136,81.2,67.8,CHARLOTTE
2019,Taven Birdow,101,69.8,43,AIR FORCE
2019,Artavis Pierce,265,80.8,70.4,OREGON ST
2019,Timothy Jackson,101,84.7,57.8,AIR FORCE
2019,Nelson Smith,237,67.2,32.2,NAVY
2019,Zander Horvath,273,76.3,61.6,PURDUE
2019,Elijah Davis,263,76.7,63.9,DOMINION
2019,Jordan Byrd,284,66,75.1,S DIEGO ST
2019,Anthony D. Taylor,314,66.8,64.6,TEXAS ST
2019,Ishod Byarm,136,69.7,56.1,CHARLOTTE
2019,Keyon Henry-Brooks,333,73.6,59.1,VANDERBILT
2019,CJ Williams,237,71,70.9,NAVY
2019,Tobias Oliver,176,75.6,58.6,GA TECH
2019,Kay'Ron Lynch-Adams,278,64.7,69,RUTGERS
2019,Jaqwis Dancy,208,76.4,59.8,LA TECH
2019,Jayy McDonald,224,71.2,56.9,MIDDLE TN
2019,Terelle West,224,87,42.7,MIDDLE TN
2019,Jabir Daughtry-Frye,318,68.7,37.3,TROY
2019,Trilion Coles,323,78.8,56.3,UCF
2019,Gilberto Torres,216,67.2,34.8,UMASS
2019,Keoni-Kordell Makekau,237,71.2,71.3,NAVY
2019,Isaac Ruoss,237,57.3,58.4,NAVY
2019,Ja'Vahri Portis,259,81.6,54.2,OHIO
2019,Nahshon Ellerbe,275,66,66.9,RICE
2019,Hekili Keliiliki,180,63.4,56.1,HAWAII
2019,Traveon Samuel,218,75.2,56.8,MEMPHIS
2019,Matthew Murla,101,65.9,,AIR FORCE
2019,James Harris II,237,45.9,,NAVY
2019,Joshua Fleeks,118,53.4,65,BAYLOR
2019,Deangelo Antoine,165,73.8,79,FAU
2019,Jeff Burroughs,351,54.3,56.6,WYOMING
2019,Coco Azema,256,84.6,59.8,NWESTERN
2019,Tyrek Tisdale,165,68.8,59.9,FAU
2019,Kered Class,141,70,60,COAST CAR
2019,Tate Martell,220,55.9,49.5,MIAMI FL
2019,Dave Small,327,79.5,56.9,USF
2019,B.J. Casteel,109,63.1,62.7,ARIZONA
2019,Stephon Robinson Jr.,198,65.4,72.9,KANSAS
2019,Preston Jelen,225,70.7,,MINNESOTA
2019,Dominico Moncion,146,61.7,,UCONN
2019,Omar Fattah,101,66.9,,AIR FORCE
2019,Colton Parton,101,45.1,,AIR FORCE
2019,Nathan Cottrell,176,63.8,86.9,GA TECH
2019,Joshua Palmer,307,55.2,65.8,TENNESSEE
2019,Mohamed Jabbie,278,63.7,52.2,RUTGERS
2019,Bo Gross,101,57.8,,AIR FORCE
2019,Lenard Leviston,101,63,,AIR FORCE
2019,Pokey Wilson,167,62.9,61.2,FLORIDA ST
2019,Forest McKee,330,58.5,52.7,UTEP
2019,Chris Herron,199,59.6,44.8,KANSAS ST
2019,Cheyenne O'Grady,111,63.3,70.1,ARKANSAS
2019,Adam Prentice,144,59.3,48.1,COLO STATE
2019,Jamari Peacock,335,58.2,54.5,VIRGINIA
2019,Sitaleki Nunn,285,,51.6,S JOSE ST
2019,Koby Bullard,118,58.2,61,BAYLOR
2020,CJ Marable,141,78.5,71.3,COAST CAR
2020,Keyon Henry-Brooks,333,69.5,82.9,VANDERBILT
2020,Zander Horvath,273,76.3,80.1,PURDUE
2020,Woody Marks,227,76.7,64.9,MISS STATE
2020,Chip Trayanum,110,88.5,57.5,ARIZONA ST
2020,Jayy McDonald,224,70.2,48.9,MIDDLE TN
2020,Jordan Byrd,284,64.4,56.9,S DIEGO ST
2020,Kay'Ron Lynch-Adams,278,60.6,67.9,RUTGERS
2020,Juwaun Price,242,74.8,60.9,NEW MEX ST
2020,Myles Fells,237,64.4,61.9,NAVY
2020,Leonard Parker,327,69.5,65.8,USF
2020,Elijah Robinson,101,82.1,,AIR FORCE
2020,CJ Williams,237,74.8,66.5,NAVY
2020,Carlinos Acie,237,59.7,51.3,NAVY
2020,Jorden Gidrey,101,64.2,44,AIR FORCE
2020,Demarkcus Bowman,163,67,,FLORIDA
2020,Ay'Jaun Marshall,114,61.7,53.1,ARMY
2020,Joshua Edwards,113,69.6,59,ARK STATE
2020,Quardraiz Wadley,330,55.2,28,UTEP
2020,EJ Wilson Jr.,166,52.1,54.5,FIU
2020,Pokey Wilson,167,63.2,62,FLORIDA ST
2020,Joshua Fleeks,118,63.3,60.9,BAYLOR
2020,JuanCarlos Santana,320,69.9,69.6,TULSA
2020,D.J. Taylor,110,56.4,60.8,ARIZONA ST
2020,Devon High,237,68.2,57,NAVY
2020,Preston Jelen,225,56.9,,MINNESOTA
2020,Tyetus Smith-Lindsey,321,62.2,,UAB
2020,Joshua Palmer,307,,71.9,TENNESSEE
2020,Joshua Youngblood,278,57.3,55.7,RUTGERS
2020,Trevis Graham ,314,,63.2,TEXAS ST
2020,Justin Smith,237,60,53.6,NAVY
2020,Charlie Norman,209,57.3,35.8,LA MONROE
2021,Jay Ducker,254,80.8,42.2,N ILLINOIS
2021,Juwaun Price,242,70.6,51.4,NEW MEX ST
2021,Woody Marks,227,78.7,78.7,MISS STATE
2021,Elijah Davis,263,73.7,48.5,DOMINION
2021,Zander Horvath,273,77.7,60.6,PURDUE
2021,Trey Cooley,210,68.5,67.5,LOUISVILLE
2021,Chip Trayanum,110,74.1,33,ARIZONA ST
2021,Carlinos Acie,237,89.2,50.9,NAVY
2021,EJ Wilson Jr.,166,67.4,63.7,FIU
2021,Kay'Ron Lynch-Adams,216,65.5,64.3,UMASS
2021,Jordan Byrd,284,73.3,78,S DIEGO ST
2021,Quardraiz Wadley,330,70.1,64.5,UTEP
2021,Trilion Coles,323,70.5,64.7,UCF
2021,Jack Colletto,265,87.5,85,OREGON ST
2021,Mason King,254,72.9,30.6,N ILLINOIS
2021,D.J. Stepney,134,79.6,58,C MICHIGAN
2021,James Ziglor III,333,59.7,61.6,VANDERBILT
2021,John Rhys Plumlee,226,75,66.5,OLE MISS
2021,Jayshon Jackson,117,64.5,72.7,BALL ST
2021,Stephon Robinson Jr.,256,71,74.8,NWESTERN
2021,Jacob Rodriguez,335,63.5,49.3,VIRGINIA
2021,Jorden Gidrey,101,65.1,52.1,AIR FORCE
2021,Demouy Kennedy,103,59.1,57.5,ALABAMA
2021,Chaese Jackson,160,60.9,57.3,E MICHIGAN
